date,message,user_id
2024-09-23 10:16:14+00:00,"AROLINA HERRERA
Carolina Herrera Good Girl eau de parfum 150 ml

Good Girl perfume is an intense fragrance that will make you fall in love from the very beginning. Among its olfactory notes you can find tuberose, jasmine, almond and toasted tonka, which create an aroma of extreme beauty that dazzles the five physical senses. This 150ml eau de parfum comes in an iconic bottle in the shape of a stiletto shoe with a golden heel. It is made of cobalt blue crystal, which makes it a jewel.

31395 birr

@easybuyorder1 | 0976667071",-1001226361445
2024-09-23 10:15:55+00:00,unknown,-1001226361445
2024-09-23 09:36:05+00:00,"Versace Eros Flame Eau De Parfum  3.4 Oz/100ml for Men

In a fiery red bottle, Eros Flame is the fragrance of love and passion, deeply masculine and intense. In the words of Donatella Versace, ""The spark of true love is the dream that each of us pursues. True love captures the soul, body and mind, and never lets you go. It takes your breath away because without your beloved, you no longer feel complete. True love consumes everything in an eternal flame of passion.""

23600 birr
100 % original

@easybuyorder1 | 0976667071",-1001226361445
2024-09-23 09:35:42+00:00,unknown,-1001226361445
2024-09-23 09:35:26+00:00,"Versace Eros Eau De Parfum 100ml


Eros Eau De Parfum by Versace is a Amber Woody fragrance for men. This is a new fragrance. Eros Eau De Parfum was launched in 2020. Top notes are Mint, Candy Apple, Lemon and Mandarin Orange; middle notes are Ambroxan, Geranium and Clary Sage; base notes are Vanilla, Sandalwood, Cedar, Patchouli, Leather and Bitter Orange.

100% original

23600 birr

@easybuyorder1 | 0976667071",-1001226361445
2024-09-23 09:35:05+00:00,unknown,-1001226361445
2024-09-23 09:34:38+00:00,"Versace Eros Parfum For Men

Eros Parfum, a creation by Versace, embodies an Amber Fougere composition tailored for men. This fragrance, Eros Parfum, made its debut in 2021. The top notes greet you with a refreshing combination of Mint and Lemon, while the heart notes unveil the essence of Green Apple and Geranium. The foundation of this scent is rooted in Tonka Bean and Amber, culminating in a captivating olfactory journey.

27600 birr


@easybuyorder1 | 0976667071",-1001226361445
2024-09-23 09:31:46+00:00,unknown,-1001226361445
2024-09-22 15:30:03+00:00,"MONT BLANC
DUFFLE BAG
MOST SOLD MODEL 

PRICE - 3430 BIRR

@easybuyorder1 | 0976667071",-1001226361445
2024-09-22 15:30:02+00:00,unknown,-1001226361445
2024-09-22 15:30:01+00:00,unknown,-1001226361445
2024-09-22 09:49:56+00:00,"Mad Wax
Mens Slip On Shoes Tan

Size available 

4000birr

@easybuyorder1 | 0976667071",-1001226361445
2024-09-22 09:49:52+00:00,unknown,-1001226361445
2024-09-22 09:47:48+00:00,"Mad Wax
Mens Lace Up Shoes

 Brown 

3700birr

@easybuyorder1 | 0976667071",-1001226361445
2024-09-22 09:47:43+00:00,unknown,-1001226361445
2024-09-21 11:17:37+00:00,"Duffle bag damilano
gym bag

Price - 3600birr

@easybuyorder1 | 0976667071",-1001226361445
